Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
32,1,58,24,0.006876489939033599,115,0.25304660201072693
32,2,43,27,0.009427355089211283,59,0.04943288117647171
22,1,43,29,0.005439848357203603,128,0.20595498383045197
29,3,51,23,0.004133334500291302,80,0.028269130736589432
29,1,38,23,0.005480830804931317,125,0.22952088713645935
31,1,49,16,0.006373814670866082,37,0.2950979769229889
28,3,55,18,0.00946536931952002,106,0.041167907416820526
24,3,52,29,0.006433833536383375,118,0.03110007755458355
32,3,64,23,0.00603932283942833,119,0.0291530042886734
18,2,37,16,0.0017974544791553922,45,0.04376128315925598
29,2,45,19,0.004181218138577386,46,0.03526821359992027
18,3,56,21,0.0018819900977581204,127,0.0387992300093174
17,2,63,26,0.00828426818439915,83,0.046413976699113846
20,1,40,24,0.007106368840480091,63,0.2628677487373352
21,3,46,26,0.006442571400171254,62,0.04062027856707573
23,3,48,32,0.009694055420536422,102,0.04552599415183067
25,3,33,18,0.006359391039962026,38,0.047176722437143326
32,3,38,16,0.00678149833606197,91,0.03414466232061386
22,1,32,31,0.006504702217268491,38,0.2785181403160095
19,2,55,26,0.003962896146068031,36,0.0389382429420948
32,1,35,27,0.008271025400785111,119,0.34808024764060974
28,1,34,23,0.007701267904473581,104,0.2654848098754883
23,3,63,26,0.003832572774624959,111,0.029003646224737167
30,1,46,30,0.004010919221234605,39,0.21487538516521454
24,3,50,21,0.008515967071873043,71,0.043132390826940536
27,1,38,16,0.000845459406309796,56,0.2872809171676636
27,3,47,32,0.0088661616805143,55,0.05325476825237274
20,2,38,21,0.008458602903590002,47,0.056779272854328156
25,1,42,26,0.0075106089339839555,63,0.29934418201446533
23,3,57,16,0.0014257010933621122,56,0.03141911327838898
29,3,41,27,0.009493053134219453,120,0.03960949182510376
20,3,46,24,0.005560084207004889,76,0.035365473479032516
29,2,59,20,0.007671785316852718,96,0.03911321610212326
29,2,59,32,0.004134823513995992,39,0.036731548607349396
23,3,36,29,0.005767111578740526,63,0.03870195150375366
17,1,49,30,0.0020388871765969073,47,0.23675258457660675
17,2,42,24,0.0001718916659082391,74,0.1620924323797226
23,3,59,20,0.0036715017437232798,93,0.02777077443897724
19,2,32,29,0.0015858154086095374,116,0.051408715546131134
28,2,49,21,0.0006981377510133298,42,0.04822451248764992
17,3,53,30,0.007414371502369041,70,0.04502575844526291
20,2,40,24,0.0071498954467940565,37,0.05568704009056091
