Optimizer,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adadelta,35,222,0.0028417723588605986,98,2.177211046218872
RMSprop,158,170,0.00975873423498885,45,0.15593720972537994
Ftrl,34,154,0.0035610764602527272,80,2.301344156265259
Adafactor,121,59,0.009798418204418893,66,0.06477160006761551
Adagrad,48,103,0.00221546705768831,72,0.5176025032997131
SGD,59,227,0.0022350055578806037,92,1.5196188688278198
Adadelta,208,44,0.00924816722137209,86,0.7945841550827026
Adagrad,131,34,0.0048343312460479545,81,0.337322860956192
Adam,88,188,0.004357715996789604,70,0.052553921937942505
Adamax,82,101,0.007157079229993527,64,0.05138281732797623
Adadelta,124,37,0.0036746954820873227,100,1.862501621246338
Adagrad,108,256,0.004580129369979914,112,0.3704178035259247
Adamax,104,158,0.007972910713108312,79,0.040869373828172684
AdamW,215,245,0.006263007049581793,118,0.05086585134267807
Adadelta,256,228,0.00019759690916057023,106,2.287428855895996
AdamW,115,126,0.005374595304817788,84,0.05188994109630585
RMSprop,86,249,0.003501224448237267,121,0.04780339077115059
Adagrad,228,90,0.0002868426404902438,49,1.5418351888656616
Adagrad,254,36,0.006038507461069691,91,0.3111591339111328
AdamW,207,136,0.004429674496254462,116,0.04274969920516014
RMSprop,190,157,0.006603186735481128,92,0.060192517936229706
Adagrad,151,209,0.005350446852428654,94,0.3277829885482788
RMSprop,237,205,0.006764688548802969,103,0.06041788309812546
Ftrl,233,187,0.0034787962158058135,117,2.3013954162597656
Nadam,223,179,0.004974981765625419,72,0.049227096140384674
Adagrad,192,59,0.005022192939864494,97,0.33558717370033264
Adamax,119,229,0.001723547420906964,96,0.08478718996047974
RMSprop,241,128,0.004307632814312582,79,0.04589901491999626
SGD,92,229,0.0030928917011775843,112,1.23396897315979
Adagrad,127,120,0.0031096737612996412,128,0.4637869596481323
Adam,175,108,0.0015351518255591005,107,0.040174879133701324
Adamax,97,215,0.0051781632941139645,96,0.049099262803792953
Nadam,223,249,0.004196264733670244,37,0.054094091057777405
Adam,159,148,0.005880201832753656,111,0.04803589731454849
Ftrl,205,108,0.0033062287773461944,100,2.301393508911133
Adam,95,228,0.0017503692802378322,104,0.048084378242492676
Adamax,190,211,0.009326022759593568,41,0.025716425850987434
Nadam,251,146,0.0005262790864471288,119,0.0635308176279068
Adamax,48,201,0.0036250416804701705,106,0.09415742009878159
Adamax,192,241,0.008479792428460062,101,0.03151342272758484
AdamW,95,214,0.0037069106868880667,71,0.05526532232761383
Adafactor,176,210,0.007312614303490519,122,0.07762286812067032
Adadelta,102,143,0.0047023607151247815,64,1.297096610069275
Nadam,128,97,0.004012569540820948,70,0.04719603806734085
Adadelta,46,229,0.006742193373164055,81,1.3482232093811035
RMSprop,245,212,0.002759231233297257,127,0.034701090306043625
Nadam,184,211,0.009204903954277309,94,0.0721723809838295
Nadam,106,126,0.000996253302523368,92,0.060671210289001465
Adamax,72,82,0.003444046064220856,106,0.09149100631475449
RMSprop,45,39,0.008266494239823233,44,0.13845811784267426
Adam,188,142,0.0006984994499392741,65,0.04570678249001503
Adam,52,79,0.00238847682567473,100,0.06643669307231903
Adamax,218,65,0.009651565150640237,55,0.029743103310465813
Ftrl,52,242,0.004391035308621161,52,2.3012688159942627
Nadam,209,216,0.009160562430506664,58,0.08773117512464523
Adagrad,110,237,0.0006796983920297166,85,1.4490203857421875
SGD,32,217,0.008329599640406101,123,0.5872600078582764
AdamW,220,86,0.002325588558606211,84,0.03690715879201889
RMSprop,223,57,0.004748046463323324,109,0.042786214500665665
Ftrl,201,71,0.0025478427182301154,85,2.301497220993042
Adadelta,116,116,0.0058750008508467256,127,1.408682942390442
Adam,242,47,0.0005762190703344144,57,0.054969046264886856
AdamW,45,84,0.004324730955044958,100,0.06810598820447922
Adamax,212,111,0.004697775248968385,109,0.041700419038534164
AdamW,182,242,0.009753430201429906,36,0.10911886394023895
Adamax,202,174,0.00019570741596202902,63,0.2297038584947586
AdamW,128,82,0.008459688407415419,62,0.07735839486122131
Adagrad,153,170,0.0010135047422111356,99,1.0177192687988281
Ftrl,67,192,0.006469381843927087,92,2.3012139797210693
Adagrad,234,103,0.0009366894307112372,88,0.7840679287910461
RMSprop,245,114,0.005376078667202865,70,0.05986412242054939
Adadelta,149,115,0.0009779206773427875,72,2.171017646789551
Adam,241,45,0.001428440488056312,76,0.037444643676280975
RMSprop,84,41,0.006904739807835776,92,0.0741170272231102
SGD,223,109,0.007577083987994257,41,0.3033525049686432
SGD,145,38,0.005751039084119038,61,0.40477681159973145
Adam,40,78,0.007745905942037515,96,0.08644598722457886
RMSprop,92,212,0.006161403553049472,118,0.05841805785894394
Adafactor,226,108,0.002975687628330568,122,0.14730635285377502
Adadelta,37,72,0.0012884052972073194,97,2.2304916381835938
Ftrl,97,57,0.00309989358056761,62,2.3013949394226074
Adadelta,227,100,0.0006476364996937656,84,2.220658779144287
Adam,130,75,0.006987837199074829,98,0.0571846142411232
