Name,Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adadelta,18,3,49,21,0.009692703209938414,38,0.530501663684845
Ftrl,23,3,48,19,0.004106566193227873,39,2.301286458969116
Adadelta,16,2,53,20,0.003690271741955204,89,2.0566298961639404
Adagrad,30,2,41,21,0.007483706649438971,102,0.1568470448255539
Nadam,21,1,40,32,0.009630681767186195,123,0.2980230450630188
SGD,18,1,58,18,0.002218090290308323,106,1.5038732290267944
AdamW,21,3,44,26,0.009354936431446597,65,0.050719741731882095
SGD,31,1,39,18,0.006800073077438275,119,0.636333703994751
Adagrad,23,3,56,26,0.009530779893204071,111,0.11206580698490143
Adadelta,20,1,40,24,0.0008103749537090944,66,2.2705113887786865
RMSprop,19,1,35,18,0.0035009441324716038,83,0.30095037817955017
Adam,24,2,45,17,0.008198448583545149,71,0.04361381009221077
SGD,24,1,53,26,0.0012401761846351634,106,2.0569186210632324
Adagrad,28,1,47,16,0.009842576879664016,114,0.4306298792362213
Adafactor,30,2,55,25,0.006496418089296422,54,nan
Adam,31,2,37,27,0.00781857705095916,99,0.039778321981430054
SGD,20,2,62,18,0.0010428717432066342,69,0.982535719871521
SGD,25,1,55,31,0.001284026795461408,51,1.756364345550537
Nadam,18,1,61,30,0.006742499771752467,108,0.21457047760486603
Ftrl,31,1,39,18,0.007830793704235674,67,2.301194429397583
Adafactor,16,3,62,26,0.0037925702045561996,57,nan
Adafactor,30,2,61,30,0.0039924490318165844,104,nan
Adam,23,3,46,17,0.007417622601317667,82,0.036889757961034775
Adadelta,17,1,62,24,0.008514329343869384,98,1.368008017539978
RMSprop,23,1,44,22,0.0042747688748351826,57,0.2367301732301712
Adamax,29,2,46,31,0.0008158416447546975,101,0.09820160269737244
Adadelta,25,1,53,25,0.0005979877201945161,105,2.2778892517089844
Adam,31,2,63,21,0.005645038988010292,119,0.03047443926334381
Adamax,25,3,60,23,0.008555183953635711,108,0.02832038328051567
